Kate Spade	Aug 31 2015	9
Kate Spade	Oct 01 2015	5
Kate Spade	Oct 03 2015	3
Kate Spade	Oct 04 2015	3
Kate Spade	Oct 05 2015	3
Kate Spade	Oct 06 2015	3
Kate Spade	Oct 07 2015	5
Kate Spade	Oct 08 2015	5
Kate Spade	Oct 09 2015	5
Kate Spade	Oct 10 2015	6
Kate Spade	Oct 11 2015	6
Kate Spade	Oct 12 2015	6
Kate Spade	Oct 13 2015	8
Kate Spade	Oct 14 2015	20
Kate Spade	Oct 15 2015	4
Kate Spade	Oct 16 2015	3
Kate Spade	Oct 17 2015	7
Kate Spade	Oct 18 2015	14
Kate Spade	Oct 19 2015	4
Kate Spade	Oct 20 2015	2
Kate Spade	Oct 21 2015	4
Kate Spade	Oct 22 2015	2
Kate Spade	Oct 23 2015	12
Kate Spade	Oct 24 2015	5
Kate Spade	Oct 25 2015	7
Kate Spade	Oct 26 2015	5
Kate Spade	Oct 27 2015	11
Kate Spade	Oct 28 2015	8
Kate Spade	Oct 29 2015	3
Kate Spade	Sep 01 2015	14
Kate Spade	Sep 02 2015	5
Kate Spade	Sep 03 2015	13
Kate Spade	Sep 04 2015	35
Kate Spade	Sep 05 2015	29
Kate Spade	Sep 06 2015	16
Kate Spade	Sep 07 2015	8
Kate Spade	Sep 08 2015	15
Kate Spade	Sep 09 2015	10
Kate Spade	Sep 10 2015	12
Kate Spade	Sep 11 2015	13
Kate Spade	Sep 12 2015	17
Kate Spade	Sep 13 2015	9
Kate Spade	Sep 14 2015	12
Kate Spade	Sep 15 2015	2
Kate Spade	Sep 17 2015	7
Kate Spade	Sep 18 2015	8
Kate Spade	Sep 19 2015	4
Kate Spade	Sep 20 2015	3
Kate Spade	Sep 21 2015	9
Kate Spade	Sep 22 2015	20
Kate Spade	Sep 23 2015	5
Kate Spade	Sep 24 2015	7
Kate Spade	Sep 25 2015	3
Kate Spade	Sep 26 2015	2
Kate Spade	Sep 27 2015	3
Kate Spade	Sep 28 2015	3
Kate Spade	Sep 29 2015	6
Kate Spade	Sep 30 2015	3
Michael Kors	Aug 29 2015	14
Michael Kors	Aug 30 2015	5
Michael Kors	Aug 31 2015	8
Michael Kors	Oct 01 2015	11
Michael Kors	Oct 02 2015	5
Michael Kors	Oct 03 2015	2
Michael Kors	Oct 05 2015	6
Michael Kors	Oct 06 2015	5
Michael Kors	Oct 07 2015	3
Michael Kors	Oct 08 2015	6
Michael Kors	Oct 09 2015	10
Michael Kors	Oct 10 2015	5
Michael Kors	Oct 11 2015	2
Michael Kors	Oct 12 2015	4
Michael Kors	Oct 13 2015	7
Michael Kors	Oct 14 2015	11
Michael Kors	Oct 15 2015	11
Michael Kors	Oct 16 2015	9
Michael Kors	Oct 17 2015	4
Michael Kors	Oct 18 2015	6
Michael Kors	Oct 19 2015	7
Michael Kors	Oct 20 2015	2
Michael Kors	Oct 21 2015	4
Michael Kors	Oct 22 2015	3
Michael Kors	Oct 23 2015	3
Michael Kors	Oct 27 2015	2
Michael Kors	Sep 01 2015	11
Michael Kors	Sep 02 2015	18
Michael Kors	Sep 03 2015	5
Michael Kors	Sep 04 2015	6
Michael Kors	Sep 05 2015	11
Michael Kors	Sep 06 2015	6
Michael Kors	Sep 07 2015	15
Michael Kors	Sep 08 2015	10
Michael Kors	Sep 09 2015	10
Michael Kors	Sep 10 2015	30
Michael Kors	Sep 11 2015	13
Michael Kors	Sep 12 2015	23
Michael Kors	Sep 13 2015	10
Michael Kors	Sep 14 2015	12
Michael Kors	Sep 15 2015	4
Michael Kors	Sep 16 2015	6
Michael Kors	Sep 17 2015	32
Michael Kors	Sep 18 2015	9
Michael Kors	Sep 19 2015	2
Michael Kors	Sep 20 2015	4
Michael Kors	Sep 21 2015	3
Michael Kors	Sep 22 2015	2
Michael Kors	Sep 23 2015	5
Michael Kors	Sep 24 2015	9
Michael Kors	Sep 25 2015	4
Michael Kors	Sep 26 2015	6
Michael Kors	Sep 27 2015	5
Michael Kors	Sep 28 2015	3
Michael Kors	Sep 29 2015	6
Michael Kors	Sep 30 2015	7
Michael Kors	r i c	1
